iter	Logloss
241	0.2939603928
242	0.2939140858
243	0.2937486709
244	0.2936772169
245	0.2936065483
246	0.2935382378
247	0.2934798834
248	0.2934109401
249	0.2933755309
250	0.2933074758
251	0.2932680573
252	0.2932349646
253	0.2931815975
254	0.2931436775
255	0.2930948785
256	0.2930661684
257	0.2930093302
258	0.2930077973
259	0.2929634878
260	0.2928958868
261	0.2928512431
262	0.2928196454
263	0.2927723544
264	0.2927715754
265	0.292721815
266	0.2926108515
267	0.2925032869
268	0.2924557126
269	0.2923996431
270	0.2923429697
271	0.2922644268
272	0.2922028733
273	0.2921669115
274	0.2921030378
275	0.2920151254
276	0.2919545962
277	0.2918760335
278	0.291830619
279	0.2917826857
280	0.2910075804
281	0.2909456799
282	0.2908968367
283	0.2908387083
284	0.2907963215
285	0.2907480146
286	0.2901758569
287	0.2898767835
288	0.2898088073
289	0.2897560122
290	0.2897079415
291	0.2896547033
292	0.2895999467
293	0.2895217857
294	0.2892240005
295	0.2891227527
296	0.289056096
297	0.2887092892
298	0.2886721817
299	0.2885377391
300	0.2883375014
301	0.2882861807
302	0.288235679
303	0.2881468964
304	0.2880800825
305	0.2879441982
306	0.2879085962
307	0.2878572221
308	0.2875635407
309	0.2875078476
310	0.2874669013
311	0.2874340588
312	0.2870647039
313	0.2870040165
314	0.2868734818
315	0.286824071
316	0.2867877017
317	0.2867334492
318	0.2866760605
319	0.2866356758
320	0.2865816783
321	0.286414989
322	0.2863648803
323	0.2860028159
324	0.2859458313
325	0.285887574
326	0.2857423608
327	0.2856097843
328	0.285572878
329	0.2854972955
330	0.2854450552
331	0.2853858865
332	0.2853468293
333	0.2852876912
334	0.2852574563
335	0.2852192428
336	0.2851801218
337	0.2847524558
338	0.2846711095
339	0.2845278588
340	0.2844796987
341	0.2844353389
342	0.284372105
343	0.2843130612
344	0.284243312
345	0.2842009178
346	0.284157725
347	0.2841210902
348	0.2840681282
349	0.2840208845
350	0.2839486073
351	0.2838710258
352	0.2838159491
353	0.2837496498
354	0.2836998794
355	0.2836362522
356	0.2836203786
357	0.2835473039
358	0.2835083647
359	0.2834653846
360	0.2832080713
361	0.2831457872
362	0.283107396
363	0.2830424087
364	0.2829798838
365	0.2828512001
366	0.2827800052
367	0.2827273529
368	0.2826713743
369	0.2826157106
370	0.2825578055
371	0.2825139922
372	0.2824580813
373	0.2824301513
374	0.2823444814
375	0.2822645225
376	0.2822070178
377	0.2821683147
378	0.2820640557
379	0.282004028
380	0.2819648863
381	0.2819267617
382	0.2818825268
383	0.2817921298
384	0.281751813
385	0.2817062752
386	0.2816637093
387	0.2816115414
388	0.281571922
389	0.2815299041
390	0.2814766884
391	0.2814269972
392	0.2813502838
393	0.281272227
394	0.281183171
395	0.2811200447
396	0.2810701342
397	0.280998248
398	0.2809673193
399	0.2809418402
400	0.2809032192
401	0.2807917008
402	0.2807536969
403	0.2806906411
404	0.2806412382
405	0.2805960288
406	0.2805427261
407	0.2804838663
408	0.2804523549
409	0.2803974215
410	0.2803482614
411	0.2803027654
412	0.2802639167
413	0.2802158283
414	0.2801720401
415	0.2801251484
416	0.2800846551
417	0.2800344909
418	0.2799561728
419	0.2799215926
420	0.2798744393
421	0.2798379626
422	0.2797996608
423	0.2797621791
424	0.2797108576
425	0.279624685
426	0.2795791958
427	0.279417488
428	0.2793530118
429	0.2793090457
430	0.279263618
431	0.2792100954
432	0.2791644651
433	0.2791256896
434	0.279084352
435	0.2790330859
436	0.2790016669
437	0.2789731406
438	0.278937989
439	0.2788970955
440	0.278865567
441	0.278814855
442	0.2787893267
443	0.2787372847
444	0.2787365993
445	0.2786916432
446	0.2786589725
447	0.2785283075
448	0.2784982394
449	0.2784627728
450	0.2784254268
451	0.2783907907
452	0.2783572567
453	0.2783299394
454	0.2783293215
455	0.2781662372
456	0.2781301394
457	0.2780339371
458	0.2779193093
459	0.2778969654
460	0.2778554569
461	0.2778243691
462	0.2777831613
463	0.2777450701
464	0.2776447182
465	0.2775882776
466	0.2775491672
467	0.2775043058
468	0.2774716986
469	0.2774118956
470	0.2773630566
471	0.2773231402
472	0.2772295157
473	0.2771899884
474	0.277173283
475	0.2771329083
476	0.277093734
477	0.2770412807
478	0.2769989044
479	0.2769594143
480	0.2769190206
481	0.2768882357
482	0.276845171
483	0.2768047373
484	0.2767742024
485	0.2767366882
486	0.2766743471
487	0.2766428703
488	0.276600283
489	0.276558616
490	0.2765194452
491	0.2764587924
492	0.2764200257
493	0.2763855632
494	0.2763465604
495	0.2763122579
496	0.2762806084
497	0.2762573045
498	0.2762239058
499	0.2761876624
500	0.2761397705
501	0.2761116493
502	0.2760506857
503	0.2760203328
504	0.2759896991
505	0.2759537996
506	0.2759105077
507	0.275872701
508	0.2758417411
509	0.2758037201
510	0.2757593282
511	0.2757182262
512	0.2756741901
513	0.2756467772
514	0.2756126406
515	0.2755869868
516	0.2755525543
517	0.2755095698
518	0.275474551
519	0.2754275967
520	0.2753865471
521	0.2753362294
522	0.2753108863
523	0.2752772092
524	0.27525055
525	0.2751768401
526	0.2751561375
527	0.2751263552
528	0.2750901686
529	0.2750319245
530	0.2749931904
531	0.2749654946
532	0.2748938626
533	0.2748374114
534	0.2748367322
535	0.2748158552
536	0.2747869339
537	0.2747261453
538	0.2746808991
539	0.2746512753
540	0.2746185752
541	0.2745696553
542	0.2745318717
543	0.2744141585
544	0.2743751579
545	0.2743440959
546	0.2742935258
547	0.2742239372
548	0.2741847866
549	0.2741506247
550	0.274112195
551	0.2740832217
552	0.2740505633
553	0.2739855672
554	0.2739770321
555	0.2739459747
556	0.2739101961
557	0.2738484621
558	0.2738143789
559	0.2737902272
560	0.2737556468
561	0.273713939
562	0.273680178
563	0.2736338472
564	0.2736068762
565	0.2735721109
566	0.2735295059
567	0.2734900661
568	0.2734442403
569	0.2733992734
570	0.273357549
571	0.2733132326
572	0.2732929391
573	0.273245782
574	0.2732145558
575	0.2731919828
576	0.2731663627
577	0.2731307029
578	0.2730849971
579	0.2730503489
580	0.2730270628
581	0.2729867702
582	0.2729409329
583	0.2729158299
584	0.2728738809
585	0.2728667878
586	0.2728360368
587	0.2727947804
588	0.2727734315
589	0.2727540645
590	0.2726904459
591	0.2726411765
592	0.2726026239
593	0.2725670555
594	0.2725323604
595	0.2724365193
596	0.272405089
597	0.2723579854
598	0.2723460408
599	0.2722856451
600	0.2722333428
601	0.2721947196
602	0.271921052
603	0.271877267
604	0.2718235338
605	0.2717946978
606	0.2716146994
607	0.2715823819
608	0.2715573187
609	0.2715132953
610	0.2714674599
611	0.2714190662
612	0.2713777696
613	0.2713534127
614	0.271303687
615	0.271259728
616	0.2712247754
617	0.2711840408
618	0.2711459358
619	0.2711011939
620	0.2710524455
621	0.2710146421
622	0.2709755999
623	0.2709300722
624	0.2708782781
625	0.2708520564
626	0.2708063491
627	0.2707761065
628	0.2707443846
629	0.2706982217
630	0.2706487855
631	0.270623869
632	0.2706041986
633	0.2704065817
634	0.2703636179
635	0.2702107754
636	0.2701525771
637	0.2701241457
638	0.2700668933
639	0.2700228618
640	0.2699842291
641	0.2699567313
642	0.2699201942
643	0.2698794715
644	0.2698753711
645	0.2698392904
646	0.2698168473
647	0.2697892867
648	0.2697543168
649	0.2697199596
650	0.2696835842
651	0.2696269449
652	0.2696003256
653	0.2695643224
654	0.2695402684
655	0.2695274652
656	0.2695044618
657	0.2694553599
658	0.2694126337
659	0.2693544654
660	0.2692012675
661	0.2692011807
662	0.2691744596
663	0.2691397904
664	0.269102154
665	0.2690655323
666	0.2690466278
667	0.2689104444
668	0.2688698426
669	0.2686365026
670	0.2686171504
671	0.2685421483
672	0.268542126
673	0.2684169631
674	0.2683811388
675	0.2683569183
676	0.2683270706
677	0.2682859822
678	0.2682523926
679	0.2682101609
680	0.2681489581
681	0.2681151577
682	0.2680754809
683	0.2680253336
684	0.2679870568
685	0.2679405961
686	0.2678987626
687	0.2678599415
688	0.2678417923
689	0.2678071636
690	0.2677689793
691	0.2677478939
692	0.2677119234
693	0.2676864175
694	0.2676640543
695	0.2676300121
696	0.2675922759
697	0.2675454775
698	0.2675105349
699	0.2674711335
700	0.2674302894
701	0.2673983343
702	0.2673480611
703	0.2673480541
704	0.2672997596
705	0.2672456194
706	0.2671949185
707	0.2671704955
708	0.2671451768
709	0.2671017888
710	0.2670746676
711	0.2670439065
712	0.2670157519
713	0.2669679029
714	0.2669354825
715	0.2669003133
716	0.2668697133
717	0.2668259261
718	0.266784478
719	0.2667844366
720	0.2667443928
721	0.2667416074
722	0.2666946439
723	0.2666889176
724	0.2666660525
725	0.266653447
726	0.2666311645
727	0.2666086241
728	0.2665638293
729	0.2665280058
730	0.2664977506
731	0.2664681943
732	0.2664329292
733	0.2664299173
734	0.266390133
735	0.2663586708
736	0.2663264054
737	0.2662803979
738	0.2662803979
739	0.2662613262
740	0.2662150124
741	0.2661865849
742	0.2661469989
743	0.26613289
744	0.2661041532
745	0.2660737113
746	0.2660405817
747	0.2659706026
748	0.2659371161
749	0.2658949651
750	0.2658946178
751	0.2658748567
752	0.2658531353
753	0.265830617
754	0.2658009138
755	0.2657597019
756	0.2657596568
757	0.2657203696
758	0.2656786183
759	0.2656467549
760	0.2655863329
761	0.2655466314
762	0.2655146327
763	0.2655075381
764	0.2654827395
765	0.2654396623
766	0.2654086296
767	0.2653871002
768	0.2653620832
769	0.2653046362
770	0.2652826059
771	0.2652468051
772	0.2652124058
773	0.2651877988
774	0.2651681585
775	0.2651318356
776	0.2651057375
777	0.2650864249
778	0.2650505139
779	0.2650121237
780	0.2649799153
781	0.2649533398
782	0.2649140943
783	0.2648721681
784	0.2648271793
785	0.2647843627
786	0.2647841192
787	0.264753485
788	0.2647186071
789	0.2646775828
790	0.2646523181
791	0.2646114954
792	0.2645703189
793	0.264525591
794	0.2645046708
795	0.2644660954
796	0.2644291419
797	0.264403864
798	0.2643641041
799	0.2643314194
800	0.2643170625
801	0.2643170175
802	0.2642834643
803	0.2642329886
804	0.2642070543
805	0.2641645086
806	0.2641277515
807	0.2641083025
808	0.2640759079
809	0.2640413364
810	0.2640104313
811	0.2639762821
812	0.26397606
813	0.2639401033
814	0.2639093535
815	0.2638599217
816	0.2638147727
817	0.2637859277
818	0.2637574859
819	0.2637176499
820	0.263669652
821	0.2636256616
822	0.2635773184
823	0.2635429069
824	0.26349938
825	0.2634552587
826	0.2633505985
827	0.2633505881
828	0.2633041798
829	0.2632850265
830	0.2632404763
831	0.2632135751
832	0.2631936564
833	0.2631434714
834	0.2631234104
835	0.263087803
836	0.2630369707
837	0.2629797978
838	0.26295062
839	0.262916593
840	0.2628837793
841	0.2628529254
842	0.2628529001
843	0.2628192452
844	0.2627953824
845	0.2627746901
846	0.2627475507
847	0.2627155987
848	0.2626969953
849	0.2626644656
850	0.2626310198
851	0.2626106551
852	0.2625675007
853	0.2625299623
854	0.2625031053
855	0.2624882079
856	0.2624568464
857	0.2624175252
858	0.2623820522
859	0.2623580889
860	0.2623339185
861	0.2623078545
862	0.2622211151
863	0.2621866472
864	0.2621520988
865	0.2621316794
866	0.2620937636
867	0.2620582238
868	0.2620579838
869	0.2620218826
870	0.2619550636
871	0.261912236
872	0.2618989353
873	0.2618900712
874	0.2618900239
875	0.2618487589
876	0.2618249325
877	0.2617816417
878	0.2617703107
879	0.2617345582
880	0.2617200076
881	0.2616901129
882	0.261659489
883	0.2615975477
884	0.2615806029
885	0.2615446132
886	0.2615445782
887	0.2615147822
888	0.2614824488
889	0.2614517004
890	0.2614020834
891	0.2613736143
892	0.2613508474
893	0.2613195389
894	0.2612942769
895	0.2612705839
896	0.2612332608
897	0.2612196002
898	0.2612103966
899	0.2611588235
900	0.2611236082
901	0.2610924938
902	0.2610519819
903	0.2610519551
904	0.2610224547
905	0.2609899973
906	0.2609438392
907	0.2608667721
908	0.2607832214
909	0.2607506197
910	0.2607249382
911	0.2606952434
912	0.2606666998
913	0.2606182151
914	0.2605811181
915	0.2605301047
916	0.2605254384
917	0.2604865137
918	0.2603569749
919	0.2603241753
920	0.2603030678
921	0.2602830755
922	0.260247366
923	0.2602094358
924	0.2601772389
925	0.2601291308
926	0.2601048515
927	0.2600695627
928	0.2600457631
929	0.2599981504
930	0.2598721076
931	0.2598371203
932	0.259837091
933	0.2597742343
934	0.2597476848
935	0.2596915125
936	0.2596914133
937	0.2596407673
938	0.2596045855
939	0.2595685974
940	0.2595344037
941	0.2595164145
942	0.2594768098
943	0.2594533192
944	0.259336442
945	0.2593051655
946	0.2592736971
947	0.2592495883
948	0.2592334879
949	0.2591874962
950	0.2591408335
951	0.259109947
952	0.2590681204
953	0.2590181494
954	0.2589658939
955	0.2589285555
956	0.2588955502
957	0.2588893056
958	0.2588510939
959	0.2588211173
960	0.2588059288
961	0.2587637715
962	0.2587436104
963	0.2587136207
964	0.2586674905
965	0.2586427693
966	0.258616641
967	0.2585931917
968	0.258559727
969	0.2585277246
970	0.2585050003
971	0.2584639234
972	0.2584294538
973	0.2582521753
974	0.2582195892
975	0.2581944755
976	0.2581552977
977	0.2581327444
978	0.2581029131
979	0.2580919927
980	0.2580512951
981	0.2580107623
982	0.2579749526
983	0.2579414359
984	0.2579038533
985	0.2578846495
986	0.2578558157
987	0.2577933764
988	0.2577414461
989	0.2577414288
990	0.2576912479
991	0.2576587909
992	0.2576335778
993	0.257611157
994	0.2575616357
995	0.2575208039
996	0.2574823741
997	0.2574472382
998	0.2574132785
999	0.2573802903
